"[all run data]","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts"
,"35","10","25","35","10","25","35","10","25","35","10","25","35","10","25","35","10","25","35","10","25","35","10","25","35","10","25","35","10","25"
,"27","6","21","24","4","20","28","5","23","24","4","20","30","5","25","30","8","22","23","6","17","23","8","15","24","6","18","24","6","18"
,"27","6","21","24","4","20","28","5","23","24","4","20","30","5","25","29","8","21","23","6","17","23","8","15","24","6","18","24","6","18"
,"27","6","21","24","4","20","28","5","23","24","4","20","30","5","25","29","8","21","23","6","17","23","8","15","23","6","17","24","6","18"
,"25","5","20","24","4","20","28","5","23","24","4","20","30","5","25","29","8","21","23","6","17","23","8","15","23","6","17","24","6","18"
,"25","5","20","23","4","19","28","5","23","23","4","19","30","5","25","29","8","21","23","5","18","23","8","15","23","6","17","24","6","18"
,"25","5","20","22","3","19","27","5","22","23","4","19","30","5","25","29","8","21","23","5","18","23","8","15","23","6","17","23","6","17"
,"25","5","20","22","3","19","27","5","22","23","4","19","30","5","25","29","8","21","23","5","18","23","8","15","23","6","17","23","6","17"
,"25","5","20","22","3","19","27","5","22","23","4","19","29","5","24","29","8","21","22","4","18","23","8","15","23","6","17","23","6","17"
,"25","5","20","22","3","19","27","5","22","22","3","19","29","5","24","29","8","21","22","4","18","23","8","15","23","6","17","23","7","16"
,"25","5","20","22","3","19","26","4","22","22","2","20","28","5","23","29","8","21","22","4","18","23","8","15","23","6","17","23","7","16"
,"25","5","20","22","3","19","26","4","22","22","2","20","28","5","23","29","8","21","22","5","17","23","8","15","23","6","17","23","7","16"
,"25","5","20","21","2","19","26","4","22","22","2","20","28","5","23","28","8","20","22","5","17","23","9","14","23","6","17","23","7","16"
,"25","5","20","21","2","19","26","4","22","21","1","20","28","5","23","28","8","20","22","5","17","23","9","14","23","6","17","23","7","16"
,"25","5","20","20","1","19","26","4","22","21","1","20","28","5","23","28","8","20","22","5","17","23","9","14","23","6","17","23","7","16"
,"25","5","20","20","1","19","26","4","22","20","1","19","27","4","23","27","7","20","22","5","17","23","8","15","23","6","17","23","7","16"
,"25","5","20","20","1","19","26","4","22","20","0","20","27","4","23","27","7","20","22","5","17","20","6","14","23","5","18","23","7","16"
,"25","5","20","20","1","19","26","4","22","20","0","20","27","4","23","27","8","19","21","4","17","20","6","14","23","5","18","23","7","16"
,"25","5","20","20","1","19","26","5","21","20","0","20","27","4","23","27","8","19","21","4","17","20","6","14","23","5","18","22","6","16"
,"25","5","20","20","1","19","25","4","21","20","0","20","27","4","23","27","8","19","21","4","17","20","6","14","21","3","18","22","6","16"
,"24","4","20","20","1","19","25","4","21","20","1","19","27","4","23","27","8","19","21","4","17","20","6","14","21","3","18","22","6","16"
,"24","4","20","20","1","19","24","3","21","20","1","19","27","4","23","27","8","19","21","4","17","20","6","14","20","3","17","22","6","16"
