"BehaviorSpace results (NetLogo 6.3.0)"
"Modelo Melhorado.nlogo"
"M traps 0"
"10/31/2022 19:54:58:819 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","green_food","show_experience","show_energy","num_experts","time_machines","num_basics","traps","shelters","yellow_food","[step]","count turtles"
"7","10","false","true","15","5","25","0","10","2.5","0","40"
"6","10","false","true","15","5","25","0","10","2.5","0","40"
"2","10","false","true","15","5","25","0","10","2.5","0","40"
"7","10","false","true","15","5","25","0","10","2.5","1","39"
"3","10","false","true","15","5","25","0","10","2.5","0","40"
"5","10","false","true","15","5","25","0","10","2.5","0","40"
"8","10","false","true","15","5","25","0","10","2.5","0","40"
"7","10","false","true","15","5","25","0","10","2.5","2","39"
"6","10","false","true","15","5","25","0","10","2.5","1","40"
"7","10","false","true","15","5","25","0","10","2.5","3","38"
"8","10","false","true","15","5","25","0","10","2.5","1","39"
"4","10","false","true","15","5","25","0","10","2.5","0","40"
"8","10","false","true","15","5","25","0","10","2.5","2","39"
"5","10","false","true","15","5","25","0","10","2.5","1","39"
"7","10","false","true","15","5","25","0","10","2.5","4","38"
"6","10","false","true","15","5","25","0","10","2.5","2","40"
"5","10","false","true","15","5","25","0","10","2.5","2","39"
"8","10","false","true","15","5","25","0","10","2.5","3","39"
"8","10","false","true","15","5","25","0","10","2.5","4","39"
"5","10","false","true","15","5","25","0","10","2.5","3","38"
"7","10","false","true","15","5","25","0","10","2.5","5","38"
"6","10","false","true","15","5","25","0","10","2.5","3","40"
"5","10","false","true","15","5","25","0","10","2.5","4","38"
"8","10","false","true","15","5","25","0","10","2.5","5","39"
"6","10","false","true","15","5","25","0","10","2.5","4","40"
"3","10","false","true","15","5","25","0","10","2.5","1","40"
"7","10","false","true","15","5","25","0","10","2.5","6","38"
"5","10","false","true","15","5","25","0","10","2.5","5","38"
"8","10","false","true","15","5","25","0","10","2.5","6","39"
"4","10","false","true","15","5","25","0","10","2.5","1","40"
"2","10","false","true","15","5","25","0","10","2.5","1","39"
"5","10","false","true","15","5","25","0","10","2.5","6","37"
"8","10","false","true","15","5","25","0","10","2.5","7","39"
"4","10","false","true","15","5","25","0","10","2.5","2","40"
"5","10","false","true","15","5","25","0","10","2.5","7","37"
"8","10","false","true","15","5","25","0","10","2.5","8","38"
"4","10","false","true","15","5","25","0","10","2.5","3","40"
"8","10","false","true","15","5","25","0","10","2.5","9","38"
"5","10","false","true","15","5","25","0","10","2.5","8","37"
"4","10","false","true","15","5","25","0","10","2.5","4","40"
"6","10","false","true","15","5","25","0","10","2.5","5","40"
"8","10","false","true","15","5","25","0","10","2.5","10","37"
"5","10","false","true","15","5","25","0","10","2.5","9","37"
"2","10","false","true","15","5","25","0","10","2.5","2","38"
"4","10","false","true","15","5","25","0","10","2.5","5","40"
"3","10","false","true","15","5","25","0","10","2.5","2","40"
"8","10","false","true","15","5","25","0","10","2.5","11","37"
"5","10","false","true","15","5","25","0","10","2.5","10","37"
"4","10","false","true","15","5","25","0","10","2.5","6","39"
"8","10","false","true","15","5","25","0","10","2.5","12","37"
"5","10","false","true","15","5","25","0","10","2.5","11","37"
"4","10","false","true","15","5","25","0","10","2.5","7","39"
