"BehaviorSpace results (NetLogo 6.3.0)"
"Modelo Base.nlogo"
"Traps 2"
"10/31/2022 17:57:23:163 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","green_food","num_experts","num_basics","shelters","traps","yellow_food","[step]","count turtles","count basics","count experts"
"1","2","15","25","5","2","2.5","0","40","25","15"
"3","2","15","25","5","2","2.5","0","40","25","15"
"5","2","15","25","5","2","2.5","0","40","25","15"
"3","2","15","25","5","2","2.5","1","40","25","15"
"3","2","15","25","5","2","2.5","2","40","25","15"
"1","2","15","25","5","2","2.5","1","40","25","15"
"3","2","15","25","5","2","2.5","3","39","24","15"
"1","2","15","25","5","2","2.5","2","37","24","13"
"5","2","15","25","5","2","2.5","1","40","25","15"
"3","2","15","25","5","2","2.5","4","39","24","15"
"4","2","15","25","5","2","2.5","0","40","25","15"
"1","2","15","25","5","2","2.5","3","33","23","10"
"3","2","15","25","5","2","2.5","5","37","23","14"
"5","2","15","25","5","2","2.5","2","39","24","15"
"1","2","15","25","5","2","2.5","4","32","22","10"
"3","2","15","25","5","2","2.5","6","37","23","14"
"5","2","15","25","5","2","2.5","3","36","23","13"
"1","2","15","25","5","2","2.5","5","31","21","10"
"3","2","15","25","5","2","2.5","7","36","23","13"
"5","2","15","25","5","2","2.5","4","36","23","13"
"1","2","15","25","5","2","2.5","6","31","21","10"
"3","2","15","25","5","2","2.5","8","35","23","12"
"1","2","15","25","5","2","2.5","7","31","21","10"
"5","2","15","25","5","2","2.5","5","34","21","13"
"3","2","15","25","5","2","2.5","9","35","23","12"
"1","2","15","25","5","2","2.5","8","29","20","9"
"4","2","15","25","5","2","2.5","1","40","25","15"
"3","2","15","25","5","2","2.5","10","32","20","12"
"5","2","15","25","5","2","2.5","6","33","21","12"
"1","2","15","25","5","2","2.5","9","27","19","8"
"4","2","15","25","5","2","2.5","2","38","25","13"
"3","2","15","25","5","2","2.5","11","27","16","11"
"5","2","15","25","5","2","2.5","7","32","20","12"
"1","2","15","25","5","2","2.5","10","26","18","8"
"3","2","15","25","5","2","2.5","12","27","16","11"
"5","2","15","25","5","2","2.5","8","31","19","12"
"4","2","15","25","5","2","2.5","3","36","24","12"
"1","2","15","25","5","2","2.5","11","25","17","8"
"3","2","15","25","5","2","2.5","13","27","16","11"
"1","2","15","25","5","2","2.5","12","25","17","8"
"4","2","15","25","5","2","2.5","4","36","24","12"
"5","2","15","25","5","2","2.5","9","30","18","12"
"3","2","15","25","5","2","2.5","14","25","15","10"
"1","2","15","25","5","2","2.5","13","25","17","8"
"4","2","15","25","5","2","2.5","5","34","23","11"
"3","2","15","25","5","2","2.5","15","24","15","9"
"5","2","15","25","5","2","2.5","10","27","16","11"
"1","2","15","25","5","2","2.5","14","24","16","8"
"3","2","15","25","5","2","2.5","16","23","14","9"
"4","2","15","25","5","2","2.5","6","34","23","11"
"5","2","15","25","5","2","2.5","11","26","16","10"
"1","2","15","25","5","2","2.5","15","20","12","8"
"4","2","15","25","5","2","2.5","7","33","22","11"
"3","2","15","25","5","2","2.5","17","22","14","8"
"5","2","15","25","5","2","2.5","12","22","13","9"
"1","2","15","25","5","2","2.5","16","18","10","8"
"3","2","15","25","5","2","2.5","18","22","14","8"
"5","2","15","25","5","2","2.5","13","19","12","7"
"1","2","15","25","5","2","2.5","17","18","10","8"
"4","2","15","25","5","2","2.5","8","33","22","11"
"3","2","15","25","5","2","2.5","19","22","14","8"
"5","2","15","25","5","2","2.5","14","19","12","7"
"1","2","15","25","5","2","2.5","18","17","9","8"
"3","2","15","25","5","2","2.5","20","22","14","8"
"1","2","15","25","5","2","2.5","19","17","9","8"
"5","2","15","25","5","2","2.5","15","17","11","6"
"3","2","15","25","5","2","2.5","21","22","14","8"
"4","2","15","25","5","2","2.5","9","30","19","11"
"1","2","15","25","5","2","2.5","20","17","9","8"
"5","2","15","25","5","2","2.5","16","16","10","6"
"1","2","15","25","5","2","2.5","21","16","8","8"
"2","2","15","25","5","2","2.5","0","40","25","15"
"3","2","15","25","5","2","2.5","22","22","14","8"
"1","2","15","25","5","2","2.5","22","16","8","8"
"5","2","15","25","5","2","2.5","17","16","10","6"
"4","2","15","25","5","2","2.5","10","29","18","11"
"3","2","15","25","5","2","2.5","23","22","14","8"
"1","2","15","25","5","2","2.5","23","16","8","8"
"5","2","15","25","5","2","2.5","18","16","10","6"
"3","2","15","25","5","2","2.5","24","22","14","8"
"4","2","15","25","5","2","2.5","11","27","16","11"
"1","2","15","25","5","2","2.5","24","16","8","8"
"5","2","15","25","5","2","2.5","19","15","10","5"
"3","2","15","25","5","2","2.5","25","22","14","8"
"4","2","15","25","5","2","2.5","12","26","15","11"
"3","2","15","25","5","2","2.5","26","22","14","8"
"5","2","15","25","5","2","2.5","20","15","10","5"
"4","2","15","25","5","2","2.5","13","26","15","11"
"1","2","15","25","5","2","2.5","25","16","8","8"
"3","2","15","25","5","2","2.5","27","22","14","8"
"5","2","15","25","5","2","2.5","21","15","10","5"
"1","2","15","25","5","2","2.5","26","16","8","8"
"4","2","15","25","5","2","2.5","14","26","15","11"
"3","2","15","25","5","2","2.5","28","22","14","8"
"5","2","15","25","5","2","2.5","22","15","10","5"
"2","2","15","25","5","2","2.5","1","39","24","15"
"1","2","15","25","5","2","2.5","27","15","7","8"
"4","2","15","25","5","2","2.5","15","24","14","10"
